date,candle_begin_time,daily_return,cumulative_return,,
2022/3/14,2022/3/14,0.01750455,3.640619606,,
2022/3/15,2022/3/15,-0.001582545,3.633275616,,
2022/3/16,2022/3/16,-0.015846443,3.559854679,,
2022/3/17,2022/3/17,0.023555397,3.667263865,,
2022/3/18,2022/3/18,-0.004364822,3.646892087,,
2022/3/19,2022/3/19,0.002058001,3.656455395,,
2022/3/20,2022/3/20,0.02037706,3.751340266,,
2022/3/21,2022/3/21,-0.024768328,3.633657513,,
2022/3/22,2022/3/22,-0.004403482,3.613253284,,
2022/3/23,2022/3/23,-0.001351515,3.607018401,,
2022/3/24,2022/3/24,0.003522398,3.623246154,,
2022/3/25,2022/3/25,-0.003619226,3.606513581,,
2022/3/26,2022/3/26,-0.001147559,3.601227336,,
2022/3/27,2022/3/27,-0.000382807,3.599465954,,
2022/3/28,2022/3/28,-0.020933033,3.50318518,,
2022/3/29,2022/3/29,0.02246562,3.604352028,,
2022/3/30,2022/3/30,0.011145066,3.655667835,,
2022/3/31,2022/3/31,0.025347806,3.773678799,,
2022/4/1,2022/4/1,-0.002261357,3.762883809,,
2022/4/2,2022/4/2,0.002403213,3.774330031,,
2022/4/3,2022/4/3,-0.025008132,3.654932955,,
2022/4/4,2022/4/4,0.00920238,3.697769416,,
2022/4/5,2022/4/5,-0.010678257,3.647605425,,
2022/4/6,2022/4/6,-0.010811546,3.597357626,,
2022/4/7,2022/4/7,-0.002132356,3.587554425,,
2022/4/8,2022/4/8,-0.004263182,3.567996848,,
2022/4/9,2022/4/9,0.000440642,3.570009701,,
2022/4/10,2022/4/10,-0.006969471,3.53815915,,
2022/4/11,2022/4/11,0.004015295,3.556381196,,
2022/4/12,2022/4/12,-0.005131018,3.533002321,,
2022/4/13,2022/4/13,-0.00054738,3.530521048,,
2022/4/14,2022/4/14,-0.010306634,3.483826626,,
2022/4/15,2022/4/15,-0.00036695,3.482181285,,
2022/4/16,2022/4/16,-0.003519823,3.4664048,,
2022/4/17,2022/4/17,0.000854855,3.470222931,,
2022/4/18,2022/4/18,0.002899176,3.483182892,,
2022/4/19,2022/4/19,-0.002164844,3.4734775,,
2022/4/20,2022/4/20,-0.001838618,3.465252485,,
2022/4/21,2022/4/21,-0.008158331,3.428823477,,
2022/4/22,2022/4/22,-0.002057831,3.419709709,,
2022/4/23,2022/4/23,0.002813919,3.432146414,,
2022/4/24,2022/4/24,-0.002677433,3.42027964,,
2022/4/25,2022/4/25,0.001613553,3.427411993,,
2022/4/26,2022/4/26,0.004213795,3.446068198,,
2022/4/27,2022/4/27,0.006771423,3.476174405,,
2022/4/28,2022/4/28,0.01714581,3.552922041,,
2022/4/29,2022/4/29,0.003403996,3.568420169,,
2022/4/30,2022/4/30,0.02387664,3.677498692,,
2022/5/1,2022/5/1,-0.005979087,3.649531519,,
2022/5/2,2022/5/2,0.006361673,3.679110319,,
2022/5/3,2022/5/3,-0.008069955,3.641350111,,
2022/5/4,2022/5/4,-0.008635716,3.601268729,,
